"","Status quo","No consumptive use","Irrig1","Irrig2","Irrig3","Double irrigation","All irrigation from groundwater","No Cobb Dam","No Waingaro River","Natural State"
"Groundwater level",6.7,6.5,6.7,6.7,6.7,7,6.4,5.9,6.3,5.4
"Milk Solids",0,-14,3,5,6,14,0,0,0,-100
"Supply security",2,2,2,2,2,2,2,8,2,8
"swim. water qual.",9,9,9,9,9,9,9,9,9,0
"Periphyton",18,8.4,16,16,16,23,33,17,17,15
"Clarity",4.6,4.66,4.59,4.58,4.58,4.54,4.6,4.6,4.6,5.47
"Dissolved Oxygen",65,70,65,65,65,60,65,70,60,75
"Drink water qual.",0.007,0.007,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.001
"Fish abundance",0,1,1,1,1,-1.7,0.6,2.4,66.3,5.7
"Macro-invertebrates",128,122,125.3,124.9,124,117,128,128,125,150
"River low flows",41,42,43,43,43,53,48,111,59,117
"Nitrogen",0.4,0.2,0.45,0.46,0.48,0.6,0.4,0.4,0.45,0.1
"Spring low flows",7250,7490,7240,7240,7230,7010,7210,6320,6810,5950
"Cultural health",3,4,2.9,2.9,2.8,2.5,3,3.2,1.5,5
